text,label
c1驾驶证,0
全方位提供HR解决方案,0
强烈的责任心与服务意识,2
全面梳理了公司业务全流程的风险控制点,0
建立与完善跨部门沟通与协调机制,0
定期完成人员报表数据分析和每月离职率及人员流失统计数据分析,0
自主开发新客户,1
重新设计供应链流程和组织打通端到端信息流,0
项目内容涵盖中期、远期组织架构方案,0
为客户（上市公司为主）的并购交易提供估值分析，主要系为交易搭建财务估值模型（DCF、Market Approach等），评估交易对价合理性,0
捍卫公司/员工的底线要求，温和坚定地解决问题,1
协助办理业务,1
根据商圈和门店销售特点，在仓与仓之间、仓与门店之间、店与店之间进行必要的库存调拨,0
善于 PS 后期处理,0
与业务部门保持有效沟通,1
协助开展活动，布置会场，筹备工作,1
负责预算管理制度和预算编制指引文档的编写和宣贯,1
完成各类客户服务落地工作,0
协助制定转让定价策略,2
负责管理班子人才画像,1
发现业务改进点,0
有强烈的好奇心和进取心，突出的学习精神和能力,0
建立基本分析模型，分析倒挂和离散数据以确保市场的合理性,0
有极强的业务把控能力和统筹能力，良好的团管理和激励能力,1
有责任心，有计划性,2
热衷于关注和分析业内优秀设计师的优秀作品和最新风格,0
对仓库进行重新规划与调整,0
在工作中刻苦努力，积极肯干，善于动脑，具有主观能动性,2
定期或不定期拜访重点客户，建立、保持与客户、同行业间的良好合作关系,1
向公司经营管理团队和集团财务部汇报公司财务状况、经营成果、资金变动和报表分析,1
保持与客户良好的沟通，与客户讨论并起草管理建议书,1
有销售工作经验，从事运营商行业销售工作者优先；市场营销专业优先,0
为公司及部门活动提供支持,1
有想法,0
解决销售及客户服务过程中的专业问题,0
英语a级,1
富有激情,2
负责社区 300 余户客户关系的维护，完成客户画像建立客户档案，按期策划组织社区活动，协调多方及时解决客户问题，在职期间 0投诉,1
对新鲜事物充满好奇，学习能力、适应能力强,0
优秀的语言表达能力,1
Owner意识，结果导向,2
组建咨询项目团队，用项目管理的方式安排工作分工，监控项目进度，控制项目风险，汇报项目进展,1
进行商务谈判/合作意向签订，关系维护,1
自我驱动力较强,2
实施公司新员工培训、推动关键人才培养计划、产品培训、销售培训等落地工作,0
工作态度认真负责,2
PPP\F+EPC\商业 BT 类项目价值识别研判、模式设计、合规性论证与筹划以及商务条件谈判,1
负责预算管理类云应用产品需求分析、产品设计、迭代开发以及上线运营的产品全生命周期管理,0
配合其他行政事务和团队建设等,2
根据甲方提供的建筑图纸以及建模设计理念进行场景制作摆放,0
具备一定的项目管理经验,1
三年以上财务相关产品经验，做过toB产品，以及SaaS产品优先,0
融合产品线（笔记本、平板和 IoT等）的财务管理工作，涵盖从上市定价、客户留利谈判、促销方案设计、交易结算和对账以及经营分析的端到端财务管理工作,0
对市场销售数据、成品排产计划与库存进行实时分析,0
