text,label
重新设计供应链流程和组织打通端到端信息流, 2
为所有顾客提供优质的服务, 0
较强的顾客服务技能, 0
有责任心，目标感强，有良好的全局观念和自学能力, 0
对行业有一定的了解及较强兴趣, 0
组织供应商开发、维护及评估考核, 1
坚毅不拔，吃苦耐劳，喜欢和善于迎接新挑战, 0
做事认真负责，善始善终, 0
有目标, 0
提出周度和日度的改善实施方案, 2
对于计算机以及网络的技术的学习和研究保持热情态度, 0
作为人力资源团队助理，全面协助人力资源团队的工作, 1
有态度、有目标, 0
维护与开发客户, 1
有责任心，有计划性, 0
协助集团财务总监处理员工持股、增发股票、并购专项贷款、公司债发行等融资项目, 1
协调银行、外审以及集团总部内审及投融资等部门机构关系的联络, 1
充满热情，积极努力, 1
团队协作需要配合的其他任务, 1
充满热情，积极努力, 0
优秀学生干部, 0
分步优化组织架构及工作流程, 2
规范询报价管理, 2
与第三方建立良好的关系, 1
富有激情, 0
协助上级完成需求岗位的JD, 1
有较强的公司整体利益观, 1
通过 VA/VE 价值分析，识别浪费来源，制定改善措施, 2
搭建人工成本分析模型，撰写成本分析报告，输出降本增效管控措施, 2
有事业心，拼搏, 0
良好的团队协作能力，善于沟通与协调, 1
工作认真细致，有耐心，有责任心，且具备求知欲和学习能力, 0
性格踏实、稳健, 1
参加百事可乐营销大赛并分配队内成员任务获三等奖, 0
优秀的服务意识, 0
热情大方做好餐中服务, 0
工作细致、工作细心，认真, 0
接受出差, 2
人品正直；诚信正直, 0
具有较强的团队合作精神, 1
注重细节，避免疏忽失误，保证工作质量, 0
协助项目执行, 1
完善管理机制，让供应商早期介入产品开发，推动产品和部件标准化, 2
协助制定转让定价策略, 1
具有良好的团队协助能力, 1
工作积极认真，动手能力强，认真负责，有很强的社会责任感, 0
对互联网改变本地生活充满热情, 0
良好的亲和力, 1
建立起完善的内控体系, 2
优秀的团队协作能力, 1
完善公司内部控制体系, 2
做事认真踏实，高度的工作意识, 0
协助完善相关模块的体系搭建，完成工具、方法的持续提升改进, 2
敢拼搏, 2
建立与完善跨部门沟通与协调机制, 2
推动 ROE 公司制度流程优化并实现 IT 信息化, 2
工作积极, 0
性格开朗, 1
目标导向，对产品工作负责, 0
良好的跨部门合作协调能力, 1
能吃苦；稳定性强, 2
持续优化结构和附属件成本, 2
结合业务要求完善部门制度与规范, 2
包容性强, 1
做好不同领域、不同产品的政策、法规、数据的调研和可行性通路分析, 2
性格开朗, 0
积极主动, 1
协助经理处理人事纠纷, 1
专业进取；工作积极、勤奋, 0
乐观、自信, 1
工作积极主动, 0
目标导向，对产品工作负责, 0
具备较强的责任心和团队精神, 1
对市场工作有热情, 0
协助财务信息室进行披露工作、开展财务转型检查、对接培训机构组织集团管理会计培训, 1
有责任心, 0
重视团队协作, 0
皮实，不玻璃心, 2
能够在快节奏、充满活力，结果导向的环境中工作, 2
积极响应客户要求, 0
树立良好的企业形象, 0
综合素质扎实、乐观外向, 1
抗压和适应能力强, 2
带领团队支持年超 200 亿元订单交付，年采购额超 100 亿元采购管理工作, 1
协助人力部门进行招聘相关工作, 1
性格开朗，乐观，具有良好的人际交往能力, 1
善沟通, 1
掌握市场动态，熟悉市场状况, 0
有较强的组织能力和动手能力、良好的社交能力，适应能力强，沟通能力强, 1
总结和改进项目管理流程, 2
为人正直诚信，坚守财务原则和底线, 0
性格开朗, 0
待人和善，对工作充满热情，勤奋好学, 1
协助业务及运营部门完善了业务流程的优化, 1
建立健全集团各分子公司高管人员离任审计的内审机制, 2
擅长独立思考, 0
Working in a team， develop project scope， deliverables， resource requirements， budget and timeline, 1
推动完善人力资源的流程体系, 2
刻苦耐劳, 0
持续优化供应商资源, 2
业务导向，目标感强，结果导向, 0
不断复盘分析，推进活动的改进与优化, 2
具备良好的沟通协调能力, 1
稳重乐观, 1
抗压力强, 2
具有责任感和敬业精神, 0
热爱教育事业, 0
对待他人热情大方，充满正能量, 0
Owner意识，结果导向, 0
积极主动, 0
