text,label
有责任心, 0
重视团队协作, 0
皮实，不玻璃心, 2
能够在快节奏、充满活力，结果导向的环境中工作, 2
积极响应客户要求, 0
树立良好的企业形象, 0
综合素质扎实、乐观外向, 1
抗压和适应能力强, 2
带领团队支持年超 200 亿元订单交付，年采购额超 100 亿元采购管理工作, 1
协助人力部门进行招聘相关工作, 1
性格开朗，乐观，具有良好的人际交往能力, 1
善沟通, 1
掌握市场动态，熟悉市场状况, 0
有较强的组织能力和动手能力、良好的社交能力，适应能力强，沟通能力强, 1
总结和改进项目管理流程, 2
为人正直诚信，坚守财务原则和底线, 0
性格开朗, 0
待人和善，对工作充满热情，勤奋好学, 1
协助业务及运营部门完善了业务流程的优化, 1
建立健全集团各分子公司高管人员离任审计的内审机制, 2
擅长独立思考, 0
Working in a team， develop project scope， deliverables， resource requirements， budget and timeline, 1
推动完善人力资源的流程体系, 2
刻苦耐劳, 0
持续优化供应商资源, 2
业务导向，目标感强，结果导向, 0
不断复盘分析，推进活动的改进与优化, 2
具备良好的沟通协调能力, 1
稳重乐观, 1
抗压力强, 2
具有责任感和敬业精神, 0
热爱教育事业, 0
对待他人热情大方，充满正能量, 0
Owner意识，结果导向, 0
积极主动, 0
根据公司的业务需求，及时调整招聘流程, 2
协助人力部门进行招聘相关工作，包括搜索简历、安排面试流程, 1
对仓库进行重新规划与调整, 2
具备较强的抗压能力, 2
勤奋, 0
性格活泼开朗, 0
组织建立系统的市场调查和分析工作机制，了解市场的变化，总结市场变化的内在规律, 2
能迅速适合工作环境并融入其中，有非常好的团队协作精神, 1
参与 HR 政策、制度、体系的建设, 1
重视团队协作, 1
充满热情，积极努力, 0
热爱产品，热爱用户，热爱研究，把创造作为生活最大的乐趣来源, 0
注重团队合作, 1
与团队成员进行充分沟通, 0
能承受较大的工作压力, 2
结果导向, 0
善于倾听，思考和总结, 2
责任心重, 0
客户服务意识, 0
负责 KA 品牌的重大项目供应链协同跟进, 1
认同企业文化, 0
维护与开发客户, 0
持续改进招聘流程、方法和工具, 2
负责跨部门的供应链协同，负责牵头组织相关单元协同, 1
有激情, 0
擅长交际，乐观开朗, 1
与第三方建立良好的关系, 0
忠诚尽责, 0
勤奋细致，执行力强，能在压力下工作, 2
能吃苦耐劳, 2
能承受较大工作压力, 2
负责、敬业, 0
做事认真负责, 0
良好的团队协作能力，善于沟通与协调, 1
强烈的责任心与服务意识, 0
获得宝能集团2021年杰出青年提名, 0
协调各部门运转和协作, 1
具有良好的团队精神, 1
擅长调研行业信息，撰写报告，出解决方案, 2
发现业务改进点, 2
能处理异常问题, 2
对待工作严谨认真, 0
组织产能规划与评审、编写 MPS 与 APS, 1
能够承受一定工作压力, 2
性格开朗, 1
坦诚敢说, 0
善思考、总结与复盘, 2
主观能动性强, 0
保证服务效率体现极致服务, 0
诚实正直, 0
带着微笑心和自信会让您更加完美哦, 1
协助领导处理 ERP 上线、IPO 项目和其他临时事务, 1
强烈的责任心与服务意识, 0
优化供应链人员结构, 2
对 S&OP 进行重新梳理与优化, 2
有服务意识；服务意识强, 0
勇于接受新的挑战, 0
协助市场销售物料采购, 1
具有团队合作精神，积极参加各项活动, 1
综合素质扎实、乐观外向, 1
培训体系的优化与管理, 2
我是一个对待工作认真负责的人, 1
抗压能力强, 2
责任心强, 1
能接受30%~50%出差安排, 2
有活力, 0
超额完成业绩，绩效在团队中排名第一, 0
快速了解客户企业文化及分析客户的发展规划和人力资源需求，制定可实施的解决方案, 2
主导完善供应商开发导入和考核管理制度, 2
注重工作效率, 0
对项目结果负责；对留存和业务增长负责；为平台用户活跃、平台GMV指标等数据负责, 0
协助董事会文件起草, 1
工作态度认真负责, 0
具备吃苦耐劳精神，可以接受长期出差, 2
有一定抗压能力, 2
协助招聘经理进行简历寻访和初筛面试甄选, 1
良好的职业操守, 0
对公司内部的流程进行优化，提高工作效率和质量, 2
不泄露销售秘密, 0
两次获得学校奖学金, 0
根据业务需求提供专业方案, 2
具有较强的学习能力, 0
责任感强, 0
一定的美学素养，细节敏感，热衷跟设计抠像素, 0
有较好的抗压能力, 2
为人坦诚, 0
为客人提供准确的问询服务、保护客人隐私信息, 0
能够吃苦耐劳, 2
做事认真踏实，为人正直诚恳, 0
具备良好的敬业精神, 0
与销售团队一起梳理团队架构、团队相关需求、进行人员招聘, 1
自信乐观，具备良好的抗压抗挫能力, 2
喜欢与人沟通，有良好的人际关系, 1
乐观向上, 0
工作上仔细负责亲自亲为的管理经验和理念, 0
与团队成员进行充分沟通, 1
通过团队合作，与各部门合作, 1
独立工作能力强，态度积极, 0
有担当, 0
热爱销售工作，愿意投身互联网行业, 0
富有团队精神, 1
能很好的平衡自己的生活与工作，非常善于规划和管理自己的时间, 0
积极思考，自我驱动, 0
深入了解本行业，把握销售信息，为企业提供业务发展和价格定位的战略依据, 0
有想法、有品位, 0
配合人力资源部门一起组织开展企业文化建设活动, 1
皮实务实能抗压；抗压能力强, 2
根据既有的销售体系，完善完整销售体系和流程, 2
月度预测预估及经营分析，进行事中监控和风险预警，事后回溯并输出经营改进建议, 2
自我驱动力, 0
优化供应商管理, 2
能承受较强的工作压力, 2
热爱产品，热爱用户，热爱研究，把创造作为生活最大的乐趣来源, 0
持续调整运营策略, 2
职场精英擂台赛优秀奖, 0
2018-2019获得广州工商学院海通杯校园模拟校园炒股大赛优秀奖, 0
创新类项目复盘并提出改进问题和建议, 2
优化库存管理制度, 2
开朗, 1
抗挫力, 2
能够在高压环境下坚持学习，补充知识盲点，运用到项目中, 2
懂得自我规划，一步步朝目标前进, 0
抗压能力强, 2
良好的抗压能力, 2
性格开朗, 1
对互联网改变本地生活充满热情, 0
热爱, 0
完成人员及组织架构梳理优化, 2
配合内审、外审、完成体系认证, 1
协助推动体系内相关招聘项目开展, 1
通过与管理团队的紧密合作，领导和推动公司文化的建设, 1
积极主动，有较强的自驱力，目标导向, 0
协助管理层制定公司的长期战略, 1
正直, 0
针对新系统的工作流程提出优化方案, 2
有较强的抗压能力, 2
能抗压力, 2
沉稳, 0
负责搭建并持续优化国内供应商体系, 2
性格活泼，善于与人沟通与交流, 1
给销售部门提供预测判断依据, 1
为人正直, 0
能够承受一定的工作压力, 2
目标感强，自驱动强，高度负责, 0
协助市场经理制定广告媒体投放计划, 1
